"","Country.Name","X2020_renew_energy_1","X2020_access_to_electrcity_1","X2020_private_investment_1","X2020_gini_index_1","X2020_gdp_current_1","X2020_gdp_growth_1","X2020_gdp_per_capita_1","X2020_gdp_per_capita_growth_1"
"118","Maldives",1.28,100,NA,NA,3746329358,-33.49279579,7282.372916,-34.77655892
"119","Mexico",12.33,99.4,4211500000,45.4,1090514966786,-7.98791234,8654.997325,-8.654637261
"120","Marshall Islands",11.97,98.2568512,NA,NA,241722400,-1.841596424,5567.972727,1.131667361
"121","North Macedonia",20.26,100,NA,NA,12363580535,-6.110886711,5965.450232,-5.922295863
"122","Mali",63.84,50.64406586,1.28e+08,NA,17465392779,-1.235450447,822.9061375,-4.29096596
"123","Malta",9.18,100,NA,31.4,15046136935,-8.612490551,29196.97775,-10.61108026
"124","Myanmar (Burma)",59.75,70.41574097,NA,NA,78930259069,3.1737744,1477.452905,2.434131087
"125","Montenegro",39.56,99.85311127,NA,NA,4769995512,-15.30689376,7677.369141,-15.20847458
"126","Mongolia",3.98,99.50216675,NA,NA,13312981427,-4.557751973,4041.174145,-6.351240603
"127","Northern Mariana Islands",0.32,100,NA,NA,8.58e+08,-29.68085106,17302.92214,-29.29654692
"128","Mozambique",80.91,30.61238289,3.2e+08,NA,14156864916,-1.198548272,454.0623643,-4.027268749
"129","Mauritania",23.78,45.4,NA,NA,8405498736,-0.9385161505,1868.468248,-3.465477977
"130","Mauritius",9.41,99.46401978,NA,NA,11401040996,-14.597398,9005.462022,-14.59935427
"131","Malawi",70.26,11.5,NA,NA,12056108780,0.7999983309,622.1845914,-1.85159978
"132","Malaysia",5.84,100,NA,NA,337339463180,-5.534435297,10160.82935,-6.661116651
"133","Namibia",31.3,52.3,NA,NA,10583748757,-8.10140078,4252.041807,-9.66882124
"134","New Caledonia",6.04,100,NA,NA,9454629451,-2.4,34700.98162,-2.837025618
"135","Niger",81.91,18.72191048,NA,NA,13744174582,3.550227506,564.8219973,-0.2381567892
"136","Nigeria",82.51,55.4,2.6e+09,NA,432198936002,-1.794253082,2074.613928,-4.16205929
"137","Nicaragua",52.13,86.00330353,NA,NA,12678162359,-1.766258452,1876.607372,-3.103558017
"138","Netherlands",10.79,100,NA,26,909793466661,-3.886083918,52162.57012,-4.418555509
